case_name,dataset,score
S40_S0683,real_train,0.7081563
A50_S1194,real_train,0.7405702
A40_S0624,real_train,0.6784794
S60_S0447,real_train,0.8737584
A50_S0538,real_train,0.8550079
S50_S0767,real_train,0.80233824
A40_S1143,real_train,0.7296695
S50_S1078,real_train,0.7512128
S60_S0902,real_train,0.8939868
S60_S0682,real_train,0.86771494
S50_S0037,real_train,0.7805785
S40_S1180,real_train,0.7495725
S60_S0909,real_train,0.86864054
S40_S0826,real_train,0.6135706
A40_S0331,real_train,0.7658422
S60_S0241,real_train,0.8743101
S50_S0266,real_train,0.77540606
S50_S1161,real_train,0.78717244
S50_S0919,real_train,0.85744333
S60_S0217,real_train,0.8948541
S70_S0034,real_train,0.8673664
S60_S0948,real_train,0.87052244
A70_S0729,real_train,0.86375624
A40_S0978,real_train,0.47117692
S40_S0240,real_train,0.7475908
S50_S0677,real_train,0.8219133
S60_S1163,real_train,0.8695274
S70_S1198,real_train,0.86782515
S60_S1181,real_train,0.9023556
A60_S0614,real_train,0.86131454
S60_S0936,real_train,0.8582962
S60_S0008,real_train,0.849119
S40_S0908,real_train,0.63959724
S40_S0380,real_train,0.6623319
A50_S1097,real_train,0.767767
A40_S0248,real_train,0.7600934
S50_S0350,real_train,0.83401537
S50_S0671,real_train,0.78886986
A50_S0029,real_train,0.68028694
A60_S0688,real_train,0.866377
S60_S1016,real_train,0.88360614
A60_S0721,real_train,0.89352757
S60_S0461,real_train,0.8878853
S40_S0099,real_train,0.63968503
S60_S0576,real_train,0.8423079
S50_S0694,real_train,0.71839213
S50_S0651,real_train,0.8536943
S60_S0928,real_train,0.88132006
S50_S0966,real_train,0.7921376
S40_S1064,real_train,0.5289909
S40_S0355,real_train,0.6958132
S60_S1060,real_train,0.82825315
S50_S1148,real_train,0.8125208
S40_S0164,real_train,0.7165031
S40_S0602,real_train,0.7112948
A50_S0180,real_train,0.79012203
S60_S1005,real_train,0.87898564
S50_S0110,real_train,0.81189686
S50_S0641,real_train,0.8463091
A50_S0584,real_train,0.8225685
S40_S0659,real_train,0.72543484
A50_S0394,real_train,0.7667771
S60_S1168,real_train,0.8976014
S60_S1108,real_train,0.87760997
S60_S0233,real_train,0.87391347
S50_S0870,real_train,0.7547765
A40_S0041,real_train,0.7256895
S40_S0402,real_train,0.6624692
S50_S0484,real_train,0.6681151
A40_S0646,real_train,0.70657057
A50_S0997,real_train,0.75120187
S40_S0648,real_train,0.7133838
S60_S0340,real_train,0.8916064
S40_S0732,real_train,0.7399449
S50_S0324,real_train,0.8350171
S60_S1009,real_train,0.8689058
S70_S0779,real_train,0.8966847
S60_S0024,real_train,0.86410666
S50_S0891,real_train,0.77655774
A60_S0528,real_train,0.85662186
A70_S0506,real_train,0.8830476
A40_S0153,real_train,0.6239869
S50_S0981,real_train,0.8219044
A60_S1172,real_train,0.88511056
S60_S0348,real_train,0.8893434
A60_S0258,real_train,0.88634425
A50_S1141,real_train,0.71095973
A50_S0463,real_train,0.8226484
S50_S0195,real_train,0.7731942
A40_S0310,real_train,0.7293021
S30_S0901,real_train,0.59558374
S60_S0814,real_train,0.8833995
S60_S0913,real_train,0.8704503
S70_S0188,real_train,0.8683977
A70_S0762,real_train,0.8823282
S40_S0766,real_train,0.6504802
S60_S0213,real_train,0.86523867
S60_S0788,real_train,0.8984376
A60_S0102,real_train,0.8480284
