seed,real_mean,fake_mean,gap,auc_roc,auc_pr,ks_stat,fake_det_10th
42,0.8179858922958374,0.1038183942437172,0.7141674757003784,0.9952708333333333,0.972815359672182,0.9366666666666666,0.9833333333333333
7,0.8252679705619812,0.10195785015821457,0.723310112953186,0.9960572916666667,0.9529961286629116,0.94,0.9991666666666666
123,0.8155553936958313,0.0822022333741188,0.7333531379699707,0.998875,0.9687754649739997,0.99,0.9991666666666666
99,0.8012542724609375,0.0774223580956459,0.7238318920135498,0.9978229166666668,0.9615892152703088,0.9775,0.9991666666666666
2024,0.8364666104316711,0.09639465063810349,0.7400719523429871,0.9980052083333334,0.9884265787188127,0.9495833333333333,1.0
